#{"t_start": 1748975210.0677748, "env_id": "None"}
r,l,t,mean_dt,std_dt
100.0,2,5503.759202,1.3157027959823608,1.2159379720687866
100.0,22,5504.105746,0.7944623827934265,0.5230377316474915
100.0,47,5504.860756,0.7527399063110352,0.5220606923103333
-100.0,11,5505.049779,0.5404897332191467,0.35462915897369385
100.0,20,5505.382329,0.8899800181388855,0.6318360567092896
100.0,68,5506.430577,0.6525532007217407,0.5217139720916748
100.0,6,5506.534089,1.4318920373916626,0.5807604789733887
100.0,18,5506.82212,0.9573736190795898,0.6484928727149963
100.0,12,5507.016933,1.0683232545852661,0.40120983123779297
100.0,25,5507.428006,0.7941039204597473,0.4913986623287201
100.0,9,5507.587835,1.0981651544570923,0.3038727641105652
100.0,74,5508.77304,0.5883378982543945,0.5345512628555298
100.0,17,5509.055128,1.2042615413665771,0.6190540790557861
100.0,20,5509.369673,0.8904674649238586,0.5847679376602173
100.0,20,5509.690056,1.1094729900360107,0.5476529598236084
100.0,12,5509.895086,1.2135237455368042,0.5713666081428528
100.0,16,5510.158632,0.9889191389083862,0.547482967376709
100.0,12,5510.352013,1.0679270029067993,0.7202720046043396
100.0,19,5510.650581,0.8787950277328491,0.46316754817962646
100.0,32,5511.141989,0.9043426513671875,0.4188518524169922
100.0,24,5511.513088,0.9487401843070984,0.5699520707130432
-100.0,33,5512.029459,0.6691118478775024,0.4191218316555023
100.0,18,5512.321013,1.0229873657226562,0.5045081973075867
100.0,15,5512.562125,0.8418191075325012,0.5587990283966064
100.0,26,5512.978844,1.0096410512924194,0.581738293170929
100.0,41,5513.62071,0.7421563267707825,0.5776264667510986
100.0,34,5514.15905,0.7970333099365234,0.5761440992355347
100.0,18,5514.4456,1.0540318489074707,0.5863503217697144
100.0,45,5515.161216,0.791312575340271,0.6172351241111755
100.0,46,5515.8941,0.6948652863502502,0.5058178901672363
100.0,7,5516.021619,1.4058988094329834,0.3761027157306671
100.0,14,5516.252171,1.1138919591903687,0.6566187739372253
-100.0,42,5516.900262,0.7990285158157349,0.4718002676963806
100.0,6,5517.003778,1.3408433198928833,0.8762908577919006
100.0,48,5517.763487,0.7167488932609558,0.5639894604682922
100.0,26,5518.174555,0.9626888632774353,0.5100467801094055
100.0,4,5518.245069,0.9421361684799194,0.6773723363876343
100.0,22,5518.591624,0.924760639667511,0.581512451171875
-100.0,43,5519.257241,0.7344390153884888,0.5169910192489624
100.0,3,5519.311239,1.2201024293899536,0.5499929189682007
100.0,27,5519.748822,0.8588618636131287,0.631183922290802
100.0,15,5519.992857,1.0953075885772705,0.5945833325386047
100.0,20,5520.321414,0.7302807569503784,0.46152547001838684
100.0,15,5520.569961,0.972608208656311,0.6864593029022217
100.0,21,5520.901503,0.9928656220436096,0.5548058748245239
100.0,18,5521.192057,0.9906066060066223,0.4071851670742035
-100.0,25,5521.602116,0.6401156783103943,0.4687536954879761
100.0,6,5521.703588,0.9939135909080505,0.5054122805595398
100.0,36,5522.26867,0.7945401668548584,0.5635301470756531
100.0,38,5522.874277,0.7921507954597473,0.5335704684257507
100.0,33,5523.409402,0.8472954630851746,0.550970733165741
100.0,23,5523.77247,0.8906434774398804,0.5279698967933655
100.0,26,5524.192124,0.8829545378684998,0.5637252926826477
-100.0,36,5524.763848,0.8236222863197327,0.6663222312927246
100.0,13,5524.971432,1.1302167177200317,0.568843424320221
100.0,19,5525.286987,0.9345743060112,0.44345247745513916
100.0,12,5525.492015,1.039052128791809,0.656171977519989
100.0,22,5525.842812,0.9193077683448792,0.48520761728286743
-100.0,40,5526.471702,0.7727571725845337,0.5575898289680481
100.0,13,5526.68673,0.9316323399543762,0.43705570697784424
100.0,10,5526.853761,1.1534578800201416,0.3975774347782135
100.0,51,5527.653365,0.7503350377082825,0.6132481098175049
100.0,47,5528.39097,0.7378672957420349,0.614686906337738
100.0,28,5528.836544,0.8817771673202515,0.5628029704093933
100.0,43,5529.510219,0.941127598285675,0.49528244137763977
100.0,25,5529.900278,0.8850893378257751,0.5510215759277344
100.0,18,5530.196833,0.8700381517410278,0.6368607878684998
100.0,21,5530.54085,1.0741567611694336,0.6155418157577515
100.0,29,5531.002428,0.8553860187530518,0.5909869074821472
100.0,49,5531.817206,0.6665772199630737,0.46387937664985657
100.0,25,5532.214882,0.9648945331573486,0.7502180933952332
100.0,29,5532.685127,0.8996018767356873,0.517635703086853
100.0,28,5533.135214,0.8690390586853027,0.5815550088882446
100.0,32,5533.652896,0.846348226070404,0.550189197063446
100.0,5,5533.737416,1.1999237537384033,0.5799258947372437
100.0,56,5534.603173,0.7376914620399475,0.5240607261657715
100.0,35,5536.275275,0.8074425458908081,0.5820012092590332
100.0,11,5536.45733,1.0476946830749512,0.3353874981403351
100.0,18,5536.742897,0.9823020100593567,0.4975700080394745
100.0,14,5536.966635,0.9147974252700806,0.5707289576530457
100.0,19,5537.2822,0.9422230124473572,0.6138999462127686
100.0,66,5538.306429,0.6904290318489075,0.5249818563461304
100.0,70,5539.400622,0.6418700814247131,0.5558539628982544
100.0,12,5539.592664,0.8394070267677307,0.5821210145950317
100.0,8,5539.725186,1.182138442993164,0.4153117835521698
100.0,27,5540.164779,0.9655013680458069,0.49110692739486694
100.0,25,5540.565855,1.0045112371444702,0.4471912384033203
100.0,17,5540.84542,1.0879724025726318,0.5108774900436401
100.0,20,5541.167522,0.8924223780632019,0.5631442070007324
100.0,33,5541.694112,0.7458137273788452,0.45323434472084045
100.0,13,5541.902141,1.0099421739578247,0.4454658329486847
100.0,41,5542.555768,0.7876400947570801,0.5975302457809448
100.0,14,5542.788808,0.985048234462738,0.56294846534729
100.0,21,5543.145465,0.998566746711731,0.6036571860313416
100.0,30,5543.624578,0.9303820133209229,0.6078121662139893
100.0,36,5544.194722,0.7871297597885132,0.5876952409744263
100.0,9,5544.347751,1.007043719291687,0.47751739621162415
100.0,6,5544.453994,0.9640787243843079,0.738348126411438
100.0,23,5544.825571,1.0687973499298096,0.4819275736808777
100.0,26,5545.241173,0.9862940907478333,0.5166221857070923
-100.0,45,5545.955563,0.6690535545349121,0.638450562953949
100.0,32,5546.464149,0.7665395140647888,0.5886191725730896
100.0,44,5547.163782,0.8236446380615234,0.5666188597679138
100.0,31,5547.653366,0.7307778596878052,0.49283671379089355
100.0,12,5547.853408,1.1084269285202026,0.38449159264564514
-100.0,14,5548.076438,0.6265262365341187,0.4689390957355499
100.0,25,5548.476502,0.8583796620368958,0.5186806917190552
100.0,1,5548.500504,1.1574757099151611,0.0
100.0,27,5548.926571,0.9404242038726807,0.6509586572647095
-100.0,4,5548.995079,0.9587894678115845,0.23444108664989471
100.0,10,5549.155662,0.9036117792129517,0.5147380232810974
100.0,14,5549.382699,1.218384861946106,0.7443608045578003
100.0,18,5549.669248,0.9409124851226807,0.5685234665870667
100.0,1,5549.690253,0.755722165107727,0.0
100.0,38,5550.288349,0.8547025918960571,0.5760293006896973
100.0,10,5550.453951,0.8317750692367554,0.46112552285194397
100.0,26,5550.868015,0.8792418837547302,0.4439784288406372
100.0,70,5551.948722,0.6551056504249573,0.5284693241119385
100.0,18,5552.241765,1.0683493614196777,0.5137428641319275
100.0,38,5552.824857,0.756820797920227,0.5309067964553833
100.0,22,5553.187948,1.0899792909622192,0.5508831739425659
100.0,16,5553.459134,1.0453770160675049,0.5760985016822815
100.0,30,5553.937222,0.9043788313865662,0.5096074342727661
100.0,40,5554.58386,0.8345227241516113,0.6320242285728455
100.0,34,5555.148964,0.894767165184021,0.6296133995056152
100.0,43,5555.846601,0.7734636664390564,0.5613580346107483
100.0,19,5556.157891,1.041833758354187,0.5128140449523926
100.0,40,5556.808041,0.7894870042800903,0.43378695845603943
100.0,9,5556.954079,1.1412529945373535,0.535631537437439
100.0,29,5557.418146,0.8909367918968201,0.5467424988746643
100.0,22,5557.776237,0.9181080460548401,0.5872640013694763
-100.0,6,5557.882756,0.598373293876648,0.34410712122917175
100.0,1,5557.905756,1.2089122533798218,0.0
100.0,20,5558.247828,0.9706168174743652,0.6281189918518066
100.0,38,5558.850914,0.7807948589324951,0.45161139965057373
100.0,16,5559.105954,1.1834075450897217,0.7414067983627319
-100.0,33,5559.631129,0.718700110912323,0.478385329246521
100.0,13,5559.841155,1.002803921699524,0.729973316192627
100.0,22,5560.201749,0.9559304714202881,0.49220529198646545
100.0,35,5560.765845,0.8562424182891846,0.47768375277519226
100.0,42,5561.419942,0.7943851947784424,0.5516303181648254
100.0,33,5561.948038,0.7379553318023682,0.5391606688499451
100.0,10,5562.112073,1.0485858917236328,0.48808789253234863
100.0,9,5562.260098,1.0675551891326904,0.5503154397010803
100.0,9,5562.409615,0.9219279885292053,0.47950291633605957
100.0,23,5562.772206,0.9985125064849854,0.5882408618927002
100.0,22,5563.114767,0.8033266663551331,0.5676119923591614
100.0,14,5563.348907,1.0691616535186768,0.40476924180984497
100.0,6,5563.448418,0.9125612378120422,0.5241400599479675
100.0,20,5563.781974,0.918633759021759,0.35813310742378235
100.0,35,5564.363112,0.643419086933136,0.4882066249847412
100.0,6,5564.469638,0.9753333926200867,0.24142715334892273
100.0,12,5564.668317,1.0706647634506226,0.3656551241874695
100.0,48,5565.419357,0.7590027451515198,0.521728515625
100.0,15,5565.659909,0.9134165644645691,0.4244399070739746
100.0,22,5566.011242,0.9445922374725342,0.5266119241714478
100.0,12,5566.206288,1.0622059106826782,0.5057754516601562
-100.0,5,5566.291812,0.8829712867736816,0.45679888129234314
100.0,42,5566.947112,0.7167204022407532,0.5580900311470032
100.0,17,5567.228715,1.0787022113800049,0.5674808621406555
-100.0,20,5567.550786,0.8952722549438477,0.46089646220207214
100.0,19,5567.859035,1.070612907409668,0.44438493251800537
100.0,31,5568.348636,0.8946351408958435,0.4787697196006775
100.0,19,5568.665735,1.0147391557693481,0.6290018558502197
100.0,45,5570.558071,0.8929587602615356,0.5337054133415222
100.0,94,5572.016851,0.48181724548339844,0.4523903727531433
100.0,41,5572.655458,0.8736782670021057,0.5254175662994385
100.0,20,5572.976894,0.9958383440971375,0.4811080992221832
100.0,20,5573.299448,0.8306925892829895,0.4744877517223358
100.0,12,5573.500497,1.157321572303772,0.4489753544330597
100.0,29,5573.95592,0.9376353621482849,0.6033549904823303
100.0,4,5574.03192,1.0684093236923218,0.5060374140739441
100.0,31,5574.514844,0.9380527138710022,0.48364394903182983
100.0,12,5574.715558,1.1548402309417725,0.477346807718277
100.0,18,5575.007668,1.0638117790222168,0.5917314291000366
-100.0,16,5575.274244,0.9194649457931519,0.6076001524925232
100.0,29,5575.745322,0.8834680318832397,0.64085853099823
100.0,12,5575.942376,1.1904733180999756,0.6590205430984497
