episode,resultado
56476,llegada
56567,choque
56616,llegada
56690,llegada
56790,timeout
56836,llegada
56846,llegada
56872,llegada
56893,llegada
56950,llegada
57022,llegada
57061,llegada
57113,choque
57134,llegada
57190,llegada
57212,llegada
57231,choque
57297,choque
57337,llegada
57362,llegada
57451,llegada
57464,llegada
57483,llegada
57523,llegada
57544,llegada
57553,llegada
57653,timeout
57671,llegada
57702,llegada
57770,choque
57777,llegada
57848,llegada
57906,llegada
57934,llegada
58011,llegada
58111,timeout
58149,llegada
58174,llegada
58267,llegada
58327,llegada
58388,llegada
58445,llegada
58529,llegada
58568,llegada
58597,llegada
58640,llegada
58722,llegada
58752,llegada
58791,llegada
58824,llegada
58828,llegada
58868,llegada
58895,llegada
58920,llegada
58964,llegada
59010,llegada
59034,choque
59093,llegada
59094,llegada
59147,choque
59186,llegada
59197,choque
59235,llegada
59277,llegada
59287,choque
59359,llegada
59372,llegada
59420,llegada
59433,llegada
59476,llegada
59541,llegada
59554,llegada
59618,llegada
59657,llegada
59682,llegada
59745,llegada
59787,choque
59841,llegada
59867,llegada
59923,llegada
59974,llegada
60012,llegada
60047,llegada
60069,llegada
60169,timeout
60213,llegada
60247,choque
60275,llegada
60329,llegada
60349,llegada
60364,llegada
60382,llegada
60410,llegada
60459,llegada
60467,llegada
60491,choque
60505,llegada
60555,llegada
60570,llegada
60591,choque
60663,llegada
60750,llegada
60850,timeout
60851,llegada
60884,llegada
60935,llegada
60970,llegada
61025,llegada
61068,llegada
61124,choque
61150,llegada
61189,llegada
61250,llegada
61261,llegada
61308,llegada
61381,llegada
61433,llegada
61480,llegada
61503,llegada
61544,llegada
61564,llegada
61569,llegada
61618,llegada
61650,llegada
61683,choque
61690,llegada
61702,llegada
61719,llegada
61778,llegada
61832,llegada
61845,llegada
61864,llegada
61930,choque
61945,llegada
61996,llegada
62050,choque
62095,llegada
62133,llegada
62169,choque
62229,llegada
62246,llegada
62265,llegada
62310,llegada
62324,llegada
62365,llegada
62443,llegada
62496,llegada
62566,llegada
62617,llegada
